name, nitg, filter, code, refpnt, top, bottom, logger, refpnt, depth, baro, file, begin, end, days, points
B30F3810,B30F3810,1,B30F3810/001,-0.611,2.83,3.83,N2810,-0.611,2.55,"Meteostation Valkenburg  - P","b30f3810-001_N2810_160331150150.MON",08-10-2015 11:00,31-03-2016 12:00,175,4202
B30F3810,B30F3810,1,B30F3810/001,-0.611,2.83,3.83,P5992,-0.611,2.55,"Meteostation Valkenburg  - P","b30f3810-001_P5992_160331145951.MON",08-10-2015 11:00,31-03-2016 12:00,175,4202
B30F3810,B30F3810,1,B30F3810/001,-0.611,2.83,3.83,P5992,-0.611,2.55,"Meteostation Valkenburg  - P","b30f3810-001_160708172908_P5992.MON",31-03-2016 14:00,08-07-2016 15:00,99,2378
B30F3810,B30F3810,1,B30F3810/001,-0.611,2.83,3.83,P6003,-0.611,2.55,"Meteostation Valkenburg  - P","b30f3810-001_170120163736_P6003.MON",20-10-2016 16:00,20-01-2017 15:00,91,2208
B30F3810,B30F3810,2,B30F3810/002,-0.638,33.68,34.68,G2786,-0.638,10.048,"Meteostation Valkenburg  - P","b30f3810-002.MON",06-12-2011 11:00,17-04-2013 17:00,498,11959
B30F3810,B30F3810,2,B30F3810/002,-0.638,33.68,34.68,N2810,-0.638,10.048,"Meteostation Valkenburg  - P","b30f3810-002.MON",29-01-2014 08:00,31-05-2014 07:00,121,2928
B30F3810,B30F3810,2,B30F3810/002,-0.638,33.68,34.68,N2810,-0.638,10.048,"Meteostation Valkenburg  - P","b30f3810-002_160708173035_N2810.MON",31-03-2016 14:00,08-07-2016 15:00,99,2378
B30F3810,B30F3810,2,B30F3810/002,-0.638,33.68,34.68,N2810,-0.638,10.048,"Meteostation Valkenburg  - P","b30f3810-002_161020173225_N2810.MON",08-07-2016 16:00,20-10-2016 15:00,103,2496
B30F3810,B30F3810,2,B30F3810/002,-0.638,33.68,34.68,N2810,-0.638,10.048,"Meteostation Valkenburg  - P","b30f3810-002_170120164054_N2810.MON",20-10-2016 16:00,20-01-2017 15:00,91,2208
B30F3810,B30F3810,3,B30F3810/003,-0.697,60.03,61.03,N2813,-0.697,10.03,"Meteostation Valkenburg  - P","B30F3810-003.MON",17-04-2013 18:00,16-08-2013 03:00,120,2890
B30F3810,B30F3810,3,B30F3810/003,-0.697,60.03,61.03,P5985,-0.697,10.03,"Meteostation Valkenburg  - P","b30f3810-003.MON",29-01-2014 08:00,31-05-2014 07:00,121,2928
